Heading,Text,Page
"Audio","2nd MIC",15
"Audio","3RD_MIC_CLK",3
"Audio","3RD_MIC_DATA",3
"Audio","3rd MIC",15
"Audio","A2H_I2S_BCLK",3
"Audio","A2H_I2S_D_OUT",3
"Audio","A2H_I2S_D_OUTA2H_I2S_BCLKA2H_I2S_LRCK",18
"Audio","A2H_I2S_LRCK",3
"Audio","AMP_I2S_BCLK",1
"Audio","AMP_I2S_D_IN",1
"Audio","AMP_I2S_D_OUT",1
"Audio","AMP_I2S_LRCK",1
"Audio","AMP_INT",1
"Audio","AMP_SCL_1P8",1
"Audio","AMP_SDA_1P8",1
"Audio","AMP_SYNC",1
"Audio","ASP_BCLK",1
"Audio","ASP_BCLK|REFCLK",16
"Audio","ASP_DIN",1
"Audio","ASP_DOUT",1
"Audio","ASP_FSYNC",1
"Audio","ASW12",17
"Audio","ASW13",17
"Audio","ASW15",17
"Audio","ASWIRE",17
"Audio","ATEST2",17
"Audio","AUDIO",1
"Audio","AUR2",6
"Audio","AUX sw",1
"Audio","AVIN",17
"Audio","AVL",6
"Audio","BARO_SCL_1P8RCV_AMP_OUT_PRCV_AMP_OUT_NGRIP_INT",18
"Audio","BIXBY_POWER_PMK",6
"Audio","ETDAC0_OUTA_M",12
"Audio","ETDAC1_OUTA_M",12
"Audio","ETDAC1_OUTA_P",12
"Audio","ETDAC1_OUTB_M",12
"Audio","ETDAC1_OUTB_P",12
"Audio","GND_BTADDA_CH01",14
"Audio","GND_BTBB_CH0",14
"Audio","GND_BTBB_CH1",14
"Audio","IFC_SENSE_CCVOL_UP",8
"Audio","INL1",17
"Audio","INL2",17
"Audio","LS_SIM1_CLKLS_SIM1_DATADISPLAY_PM_INTA2H_I2S_D_OUT",10
"Audio","L_R",16
"Audio","MAGNETIC_SDA_1P8A2H_I2S_LRCKMAGNETIC_SCL_1P8GPS_L5_LNA_ENSPEN_PDCT_1P8LAA_RX_EN",10
"Audio","MAIN_MIC_CLK",3
"Audio","MAIN_MIC_DATA",3
"Audio","MGAIN",6
"Audio","MIC15200",16
"Audio","MIC15201",16
"Audio","OUT+",1
"Audio","OUT-",1
"Audio","PCIE0_RST_NRCV_AMP_OUT_PRCV_AMP_OUT_NSPEN_FWE1_1P8",10
"Audio","SHEET05 : IF SUB Conn, MOTOR DRV IC, RCV Conn, MIC",10
"Audio","SHEET08 : SPK AMP, MIC",1
"Audio","SPEN_IRQ_1P8SPEN_FWE1_1P8SUB_MIC_DATA",18
"Audio","SPK_AMP_OUT_N",1
"Audio","SPK_AMP_OUT_P",1
"Audio","SPK_AMP_RST_N",1
"Audio","SPK_OUT_FB_N",1
"Audio","SPK_OUT_FB_P",1
"Audio","SUB_MIC_CLK",3
"Audio","SUB_MIC_CLK3RD_MIC_CLK",16
"Audio","SUB_MIC_DATA",3
"Audio","SUB_MIC_DATASUB_MIC_CLK",10
"Audio","VAMP",15
"Audio","VDD08_BTADDA_CH0",14
"Audio","VDD08_BTADDA_CH1",14
"Audio","VDD08_BTLPSYN",14
"Audio","VDD08_BTPA1RX_CH0",14
"Audio","VDD08_BTRXBB_CH0",14
"Audio","VDD08_BTRXBB_CH1",14
"Audio","VDD12_BTSYN",14
"Audio","VDD12_BTTXBB_CH0",14
"Audio","VDD17_BTDA_CH1",14
"Audio","VDDAH_1",9
"Audio","VDDAH_2",9
"Audio","VDDAL_1",9
"Audio","VDDAL_13",9
"Audio","VDDAL_2",9
"Audio","VDDAL_8",9
"Audio","VDDAM_1",9
"Audio","VDDAM_3",9
"Audio","VDDAM_9",9
"Audio","VDD_MIC_BIAS_1P8",7
"Audio","VPH_PWR_LEFT",12
"Audio","VSPK",1
"Audio","Vol + Power key",1
"Audio","WLAN_BT_SLIMBUS_CLK",3
"Audio","WLAN_BT_SLIMBUS_DATA",3
"Unclassified","!! Warning : Trace from output cap",11
"Unclassified","!! for QPM7815",10
"Unclassified","#1",11
"Unclassified","#2",11
"Unclassified","(0.3mm)",8
"Unclassified","(0.45mm)",8
"Unclassified","(0.4mm)",8
"Unclassified","(0.7mm)",8
"Unclassified","(1.5mm)",8
"Unclassified","(1/2)",9
"Unclassified","(1/6)",1
"Unclassified","(2/6)",3
"Unclassified","(3/6)",3
"Unclassified","(4/6)",3
"Unclassified","(5/6)",1
"Unclassified","(6/6)",3
"Unclassified","(B1/2/3/4/7/25/30/34/38/39/40/41/66, G1800/1900, BC1)",10
"Unclassified","(B1/2/3/4/7/25/30/39/41/66_BC1_DCS/PCS)",11
"Unclassified","(B2/4/7/25/30/41/66)",11
"Unclassified","(B48, n77/78)",11
"Unclassified","(B5/8/12/13/14/17/18/19/20/26/28/29/71_BC0/10_G850/900)",11
"Unclassified","(B5/8/12/13/14/17/20/26/28/29/71, G850/900, BC0/10)",10
"Unclassified","(HB_n41)",10
"Unclassified","(KOR/CHN/JPN : SFML6S0V001)",11
"Unclassified","(LB,MB,JPN B21)",10
"Unclassified","(MB_HB_N79_L1_UWB2)",11
"Unclassified","(N77/78_WIFI 5G)",11
"Unclassified","(lb_hb)",11
"Unclassified","(mb_L5_WIFI 2.4G)",11
"Unclassified","(n79_UWB)",11
"Unclassified","-R11-R13-R15-R19-R21-U21-U23",14
"Unclassified","0",1
"Unclassified","0607",14
"Unclassified","1",1
"Unclassified","10",1
"Unclassified","100",6
"Unclassified","101",6
"Unclassified","1010",10
"Unclassified","1011",10
"Unclassified","102",6
"Unclassified","103",6
"Unclassified","104",6
"Unclassified","105",7
"Unclassified","106",7
"Unclassified","107",7
"Unclassified","108",7
"Unclassified","109",7
"Unclassified","10:18:26 amWednesday, April 7, 2021jy.r.cho3",14
"Unclassified","10mA",11
"Unclassified","11",1
"Unclassified","110",7
"Unclassified","1111",10
"Unclassified","1112",8
"Unclassified","11121314",1
"Unclassified","112",6
"Unclassified","1123",1
"Unclassified","116",15
"Unclassified","12",1
"Unclassified","12 1 8 A",15
"Unclassified","12/1T",9
"Unclassified","12/256",9
"Unclassified","12/512",9
"Unclassified","120mA",11
"Unclassified","121011121314",1
"Unclassified","1211",6
"Unclassified","1212",10
"Unclassified","1213",13
"Unclassified","1214613",8
"Unclassified","1220",1
"Unclassified","12241",15
"Unclassified","123",6
"Unclassified","124",10
"Unclassified","12:00:42 pmTuesday, January 18, 2022jy.r.cho",3
"Unclassified","12:01:26 pm",17
"Unclassified","13",1
"Unclassified","1313",10
"Unclassified","1314",8
"Unclassified","132",16
"Unclassified","133",8
"Unclassified","13523",15
"Unclassified","137",1
"Unclassified","14",1
"Unclassified","141516",10
"Unclassified","141715",1
"Unclassified","14199",16
"Unclassified","143",1
"Unclassified","1471819",3
"Unclassified","15",1
"Unclassified","150mA Boost Regulator,100mV/200mV steps, 7.0V default",16
"Unclassified","1512",1
"Unclassified","1516",8
"Unclassified","159",8
"Unclassified","16",1
"Unclassified","16 1 12 A",1
"Unclassified","1617",3
"Unclassified","1619",8
"Unclassified","1624",6
"Unclassified","17",1
"Unclassified","1718",8
"Unclassified","1722",8
"Unclassified","173",1
"Unclassified","1757",10
"Unclassified","18",1
"Unclassified","1817",14
"Unclassified","1822",16
"Unclassified","182221",1
"Unclassified","185105",16
"Unclassified","19",1
"Unclassified","1915",6
"Unclassified","1921",1
"Unclassified","1923",1
"Unclassified","198",1
"Unclassified","1:41:36 pmMonday, April 19, 2021hanvit.kang",8
"Unclassified","2",1
"Unclassified","20",1
"Unclassified","2012",8
"Unclassified","2022.10.25",10
"Unclassified","21",1
"Unclassified","211110",1
"Unclassified","2112",6
"Unclassified","2118",16
"Unclassified","21213",10
"Unclassified","2122",8
"Unclassified","2168",3
"Unclassified","22",1
"Unclassified","220330",10
"Unclassified","220512_REMOVE_AC_CAP",14
"Unclassified","220629",3
"Unclassified","220719",6
"Unclassified","220720_QRD",3
"Unclassified","220823_REV0.5",14
"Unclassified","220824_REV0.5",11
"Unclassified","220825_REV0.5",10
"Unclassified","220830_REV0.5A",14
"Unclassified","220831",8
"Unclassified","223",1
"Unclassified","224",1
"Unclassified","226",8
"Unclassified","23",1
"Unclassified","2324",8
"Unclassified","233",1
"Unclassified","2345678910",1
"Unclassified","235mA",11
"Unclassified","235mA10mA",11
"Unclassified","239",1
"Unclassified","24",1
"Unclassified","24 1 16 A",1
"Unclassified","241",1
"Unclassified","2412",16
"Unclassified","24129",1
"Unclassified","2413",3
"Unclassified","2416",10
"Unclassified","25",3
"Unclassified","2526",8
"Unclassified","26",3
"Unclassified","2627",12
"Unclassified","27",3
"Unclassified","2703-005067",16
"Unclassified","2703-005224",16
"Unclassified","2703-005575",10
"Unclassified","2703-005705",10
"Unclassified","2703-005723",16
"Unclassified","2703-005724",15
"Unclassified","2703-005772",16
"Unclassified","2728",8
"Unclassified","28",3
"Unclassified","29",3
"Unclassified","2:08:19 pmMonday, April 19, 2021hanvit.kang4",1
"Unclassified","2GLB_IN1",11
"Unclassified","2G_VCC1",11
"Unclassified","2G_VCC2",11
"Unclassified","2S",4
"Unclassified","3",1
"Unclassified","3  D",4
"Unclassified","30",3
"Unclassified","31",3
"Unclassified","3132",8
"Unclassified","314",1
"Unclassified","315",1
"Unclassified","319",14
"Unclassified","32",3
"Unclassified","3233",13
"Unclassified","33",3
"Unclassified","3334",8
"Unclassified","3344",16
"Unclassified","34",1
"Unclassified","3456",10
"Unclassified","35",6
"Unclassified","3536",8
"Unclassified","36",6
"Unclassified","360.00mA",11
"Unclassified","37",6
"Unclassified","3738",8
"Unclassified","38",6
"Unclassified","39",6
"Unclassified","399.6mA",11
"Unclassified","3DF COUPON",17
"Unclassified","4",1
"Unclassified","40",6
"Unclassified","400mA Inverting Regulator,100mV steps, -4.0V default",16
"Unclassified","41",6
"Unclassified","410",3
"Unclassified","4142",16
"Unclassified","418",11
"Unclassified","419",1
"Unclassified","42",6
"Unclassified","43",6
"Unclassified","4344",16
"Unclassified","44",6
"Unclassified","45",1
"Unclassified","4546",16
"Unclassified","456",10
"Unclassified","456789",1
"Unclassified","46",6
"Unclassified","47",6
"Unclassified","4748",16
"Unclassified","48",6
"Unclassified","49",6
"Unclassified","4GLB_IN1",11
"Unclassified","4GLB_IN2",11
"Unclassified","4G_VCC1",11
"Unclassified","4G_VCC2",11
"Unclassified","5",1
"Unclassified","50",6
"Unclassified","5051",11
"Unclassified","51",6
"Unclassified","510",1
"Unclassified","52",6
"Unclassified","522",11
"Unclassified","53",6
"Unclassified","5354",16
"Unclassified","54",6
"Unclassified","55",6
"Unclassified","5556",16
"Unclassified","56",6
"Unclassified","57",6
"Unclassified","5758",16
"Unclassified","58",6
"Unclassified","59",6
"Unclassified","5G IFIC",8
"Unclassified","5G IFIC, PMR735D #1",8
"Unclassified","6",1
"Unclassified","6 Axis SENSOR (GYRO,ACCEL)",15
"Unclassified","60",6
"Unclassified","61",6
"Unclassified","611",3
"Unclassified","613",6
"Unclassified","6162",13
"Unclassified","62",6
"Unclassified","620",1
"Unclassified","63",6
"Unclassified","6364",16
"Unclassified","64",6
"Unclassified","65",6
"Unclassified","66",6
"Unclassified","660mA",11
"Unclassified","67",6
"Unclassified","68",6
"Unclassified","69",6
"Unclassified","6AXIS1_INT1",3
"Unclassified","6AXIS1_INT2",3
"Unclassified","6AXIS_I3C_SCL_1P8",3
"Unclassified","6AXIS_I3C_SDA_1P8",3
"Unclassified","7",1
"Unclassified","70",6
"Unclassified","71",6
"Unclassified","71112",15
"Unclassified","72",6
"Unclassified","73",6
"Unclassified","74",6
"Unclassified","75",3
"Unclassified","76",1
"Unclassified","765.00mA",11
"Unclassified","77",6
"Unclassified","7788",16
"Unclassified","78",6
"Unclassified","79",6
"Unclassified","8",1
"Unclassified","8/256",9
"Unclassified","80",6
"Unclassified","81",6
"Unclassified","810",10
"Unclassified","814",14
"Unclassified","82",6
"Unclassified","822",6
"Unclassified","83",6
"Unclassified","84",6
"Unclassified","85",6
"Unclassified","86",6
"Unclassified","87",6
"Unclassified","88",6
"Unclassified","89",1
"Unclassified","891011",10
"Unclassified","8:29:19 amWednesday, April 21, 2021hanvit.kang",8
"Unclassified","9",1
"Unclassified","90",6
"Unclassified","91",6
"Unclassified","912",1
"Unclassified","918",3
"Unclassified","92",6
"Unclassified","92nd",1
"Unclassified","93",6
"Unclassified","93.745 18.495 1 180 MM 9374500 1849500",12
"Unclassified","94",6
"Unclassified","95",6
"Unclassified","96",6
"Unclassified","97",1
"Unclassified","98",1
"Unclassified","99",6
"Unclassified","@REV02",10
"Unclassified","@REV03",10
"Unclassified","@REV03(net name change)",10
"Unclassified","@REV04",10
"Unclassified","@REV04, N41 SRS Filter Delete",11
"Unclassified","A",1
"Unclassified","A1",1
"Unclassified","A10",2
"Unclassified","A11",2
"Unclassified","A11, E9",11
"Unclassified","A11A14A16A17",18
